ID_Accidente;A�o;Fecha;Dia;Hopra;Ruta/Autop;km;Participantes;Tipo;Lugar;Total;Heridos Leves;Heridos Graves;Ilesos;Fallecidos;Sin datos;desc_tipo_via;desc_loc;desc_dpto;|;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion
5194;2021;16/7/2021;Viernes;11:00:00;;0.0;1;Automóvil; ;1;1;0;0;0;0;S/D;ROSARIO;Constitución;S/D;S/D;II;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;Diurna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5195;2021;16/7/2021;Viernes;13:35:00;;0.0;2;Bicicleta,Moto/Ciclomotor;Bv. Seguí Y Vera Mujica;2;1;0;0;0;0;Avenida;ROSARIO;Constitución;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5196;2021;16/7/2021;Viernes;11:00:00;;0.0;3;Moto/Ciclomotor,Moto/Ciclomotor,Automóvil;Av. Battle y Ordoñez 5700;3;0;0;2;0;0;Avenida;ROSARIO;Constitución;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5197;2021;16/7/2021;Viernes;08:50:00;;0.0;1;Moto/Ciclomotor;9 de Julio Y Av. Iriondo;1;0;0;0;0;0;Avenida;SAN JUSTO;Constitución;Asfalto;No existe;XVI;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5198;2021;16/7/2021;Viernes;;Ruta Provincial 18;0.0;2;Camión,Camión;Av. Ovidio Lagos Y Camino Nuevo Soldini;2;0;0;1;0;0;Ruta;ROSARIO;Constitución;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;S/D;S/D;S/D;Lluvia;Múltiple;S/D;Colisión;Agua;Horizontal,Vertical
5199;2021;17/7/2021;Sabado;06:45:00;Ruta Provincial 1;40.0;1;Automóvil;Ruta Provic 1 ;2;1;0;0;1;0;Ruta;SANTA ROSA DE CALCHINES;Garay;Asfalto;Natural;VII;S/D;Rural;Otra Señal;No existe;Intersección;Bueno;S/D;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5200;2021;17/7/2021;Sabado;16:15:00;;0.0;2;Moto/Ciclomotor,Automóvil;Bv. Seguí Y Dorrego;2;1;0;1;0;0;Avenida;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5201;2021;17/7/2021;Sabado;17:20:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;La Pampa Y La Rioja;2;2;0;0;0;0;Calle;TOSTADO;9 de Julio;Ripio;No existe;XII;Dentro;Urbana;Otra Señal;No existe;Intersección;Deteriorada;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5202;2021;17/7/2021;Sabado;09:30:00;;0.0;3;Vehículo Oficial,Automóvil,Automóvil;Mendoza Y Rio De Janeiro;3;2;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5203;2021;17/7/2021;Sabado;19:30:00;Ruta Nacional 98;0.0;3;Bicicleta,Bicicleta,Moto/Ciclomotor; ;3;2;0;1;0;0;Ruta;TOSTADO;9 de Julio;Hormigón;Natural;II;Fuera;Rural;Otra Señal;No existe;Intersección;Bueno;Reducida;Atardecer;Buen Tiempo;Múltiple;Ciclista;Colisión;Ninguna;Faltante
5204;2021;17/7/2021;Sabado;12:50:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;25 de Mayo Y Estanislao López;2;2;0;0;0;0;Calle;VERA;Vera;Tierra,Ripio;No existe;XIX;Dentro;Urbana;Otra Señal;No existe;Intersección;S/D;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5205;2021;17/7/2021;Sabado;20:10:00;Ruta Nacional 34;4.0;2;Automóvil,Moto/Ciclomotor; ;2;1;0;1;0;0;Ruta;IBARLUCEA;Rosario;Asfalto;Ripio;II;Dentro;Rural;Otra Señal;Intermitente;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5206;2021;17/7/2021;Sabado;17:40:00;Ruta Secundaria 34-s;0.0;2;Moto/Ciclomotor,Automóvil;Av. 9 de Julio Y Urquiza;2;1;0;1;0;0;Ruta;PEREZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5207;2021;17/7/2021;Sabado;11:20:00;;0.0;2;Automóvil,Bicicleta;Alberdi Y Belgrano;2;1;0;1;0;0;Calle;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5208;2021;17/7/2021;Sabado;22:40:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Freyre Y Hipólito Yrigoyen;2;1;0;1;0;0;Avenida;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Viento Fuerte;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5209;2021;17/7/2021;Sabado;00:05:00;;0.0;2;Automóvil,Automóvil;Av. Gral. Paz Y Llerena;3;2;0;1;0;0;Avenida;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5210;2021;17/7/2021;Sabado;19:30:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Gral. Paz Y Lavaisse;2;1;0;1;0;0;Avenida;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5211;2021;17/7/2021;Sabado;08:50:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Alberdi Y Simón De Iriondo;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;Intermitente;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5212;2021;17/7/2021;Sabado;19:30:00;Ruta Nacional 11;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Rio Negro Y Ruta Nacional 11;2;1;0;1;0;0;Ruta;RECREO;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5213;2021;17/7/2021;Sabado;18:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;General Paz Y Soler;3;2;0;1;0;0;Calle;ESPERANZA;Las Colonias;Asfalto;No existe;XI;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5214;2021;17/7/2021;Sabado;22:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 10 Y Calle 41;2;1;0;1;0;0;Calle;LAS TOSCAS;General Obligado;Ripio;No existe;IX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Reducida polvo;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5215;2021;17/7/2021;Sabado;16:15:00;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 12 San Martin Y Calle 17-Bartolome Mitre;3;2;0;1;0;0;Calle;RECONQUISTA;General Obligado;Asfalto;No existe;IX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5216;2021;17/7/2021;Sabado;15:35:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;L.N.Alem Y San Martin;3;2;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5217;2021;17/7/2021;Sabado;06:30:00;Ruta Nacional 33;0.0;3;Moto/Ciclomotor,Automóvil,Transporte de Pasajeros (H/ 8 asientos);Boulevard 9 de julio Y Boulevard Cristóbal Colon;3;1;0;2;0;0;Ruta;CASILDA;Caseros;Asfalto;No existe;IV;Dentro;Urbana;Otra Señal;Funciona;Intersección;S/D;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;S/D;Horizontal,Vertical
5218;2021;17/7/2021;Sabado;17:15:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Balcarce Y Piacenza;2;2;0;0;0;0;Calle;VENADO TUERTO;General LÓPEZ;Ripio;No existe;VIII;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5219;2021;17/7/2021;Sabado;11:00:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Calle 30-Lucas Funes Y Calle 47-Islas Malvinas;3;2;0;1;0;0;Calle;RECONQUISTA;General Obligado;Asfalto;No existe;IX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5220;2021;17/7/2021;Sabado;18:15:00;;0.0;2;Moto/Ciclomotor,Camión;9 de Julio Y Bv Urquiza;2;1;0;1;0;0;Avenida;VILLA OCAMPO;General Obligado;Asfalto;No existe;IX;Dentro;Urbana;Otra Señal;S/D;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
5221;2021;17/7/2021;Sabado;08:00:00;;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Camino Rural;JOSEFINA;Castellanos;Ripio;No existe;V;Dentro;Rural;Otra Señal;No existe;Intersección;Resbaladiza;Buena;Amanecer;Buen Tiempo;Múltiple;S/D;Colisión;Material Suelto;Faltante
5222;2021;17/7/2021;Sabado;21:20:00;Ruta Provincial 30;0.0;1;Moto/Ciclomotor;25 DE MAYO ;1;1;0;0;0;0;Ruta;VILLA GUILLERMINA;Constitución;Asfalto;Natural;IX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Reducida;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5223;2021;17/7/2021;Sabado;17:00:00;;0.0;2;Automóvil,Moto/Ciclomotor;Lamadrid Y Av. Ovidio Lagos;2;1;0;0;0;1;Avenida;ROSARIO;Constitución;S/D;S/D;II;S/D;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;Diurna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5224;2021;17/7/2021;Sabado;15:00:00;;0.0;1;Moto/Ciclomotor;Bv. Seguí Y Dorrego;1;1;0;0;0;0;Avenida;ROSARIO;Constitución;S/D;S/D;II;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;Diurna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5225;2021;17/7/2021;Sabado;18:00:00;;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;S/D;ROSARIO;Constitución;S/D;S/D;II;S/D;Rural;Otra Señal;S/D;Intersección;S/D;S/D;Atardecer;S/D;Múltiple;S/D;Colisión;S/D;S/D
5226;2021;17/7/2021;Sabado;05:30:00;;0.0;1;Automóvil;Av. Saturnino Duffy  1150;2;0;0;0;1;0;Avenida;WHEELWRIGHT;Constitución;Asfalto;S/D;VIII;S/D;Urbana;Otra Señal;S/D;Intersección;Bueno;S/D;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
5227;2021;17/7/2021;Sabado;13:30:00;;0.0;2;Camión Chasis,Moto/Ciclomotor;Av. De Las Palmeras Y Calle 1721;3;1;0;1;0;0;Avenida;ROSARIO;Constitución;Asfalto;S/D;II;Dentro;Urbana;Otra Señal;S/D;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
5228;2021;18/7/2021;Domingo;16:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Maipú Y Av. San Martin;2;0;0;1;1;0;Avenida;LAGUNA PAIVA;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;S/D;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Horizontal
5229;2021;18/7/2021;Domingo;18:40:00;;0.0;2;Moto/Ciclomotor,Automóvil;Mitre 4300;2;1;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5230;2021;18/7/2021;Domingo;13:10:00;;0.0;2;Moto/Ciclomotor,Automóvil;Ituzaingó Y Maipú;2;1;0;1;0;0;Calle;SAN CRISTÓBAL;San CRISTÓBAL;Asfalto;No existe;XIII;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5231;2021;18/7/2021;Domingo;12:25:00;;0.0;2;Moto/Ciclomotor,Automóvil;Alsina Y San Lorenzo;2;1;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;Ciclista;Colisión;Ninguna;Horizontal
5232;2021;18/7/2021;Domingo;09:30:00;Ruta Nacional 178;176.0;1;Pickup/Utilitario; ;1;1;0;0;0;0;Ruta;LAS PAREJAS;Belgrano;Asfalto;No existe;III;Dentro;Rural;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5233;2021;18/7/2021;Domingo;18:00:00;;0.0;2;Automóvil,Automóvil;MAESTRO ALMARAZ Y RITA IBARLUCEA;2;1;0;1;0;0;Calle;IBARLUCEA;Rosario;Tierra;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5234;2021;18/7/2021;Domingo;12:30:00;;0.0;2;Bicicleta,Automóvil;PADRE JORGE ALDANI Y TIMBUES;2;1;0;1;0;0;Calle;ROLDÁN;San Lorenzo;Tierra;No existe;XVII;Dentro;Urbana;Otra Señal;No existe;Intersección;S/D;Buena;Diurna;S/D;Múltiple;Ciclista;Colisión;S/D;Faltante
5235;2021;18/7/2021;Domingo;23:45:00;Ruta Nacional 11;0.0;1;Automóvil;Ruta Nacional 11 Y Sarmiento;1;1;0;0;0;0;Ruta;SAN JUSTO;San Justo;Ripio;No existe;XVI;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Reducida;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5236;2021;18/7/2021;Domingo;19:00:00;;0.0;2;Peatón,Automóvil;9 de Julio 3330;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;Peatón;Colisión;Ninguna;Faltante
5237;2021;18/7/2021;Domingo;08:45:00;Ruta Provincial 64;36.2;2;Tren,Camión c / Acoplado; ;3;1;0;2;0;0;Ruta;LÓPEZ;San JERÓNIMO;S/D;S/D;XV;Dentro;Rural;Otra Señal;S/D;Intersección;S/D;S/D;Diurna;S/D;Múltiple;S/D;Colisión;S/D;Horizontal
5238;2021;18/7/2021;Domingo;04:35:00;;0.0;1;Moto/Ciclomotor;Tomas Alva Edison 800;1;1;0;0;0;0;Calle;VENADO TUERTO;General LÓPEZ;Asfalto;No existe;VIII;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5239;2021;18/7/2021;Domingo;19:45:00;;0.0;1;Automóvil; ;3;3;0;0;0;0;Camino Rural;ARROYO CEIBAL;General Obligado;S/D;S/D;IX;Dentro;Rural;Otra Señal;S/D;Intersección;Ahuellamiento;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
5240;2021;18/7/2021;Domingo;00:00:00;;0.0;1;Moto/Ciclomotor;Av. Pte. Perón Y Roullon;1;1;0;0;0;0;Avenida;ROSARIO;Constitución;S/D;S/D;II;S/D;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5241;2021;18/7/2021;Domingo;00:00:00;;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;S/D;ROSARIO;Constitución;S/D;S/D;II;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5242;2021;18/7/2021;Domingo;00:00:00;;0.0;1;Moto/Ciclomotor;GUAYACANES 200;1;1;0;0;0;0;S/D;ROSARIO;Constitución;S/D;S/D;II;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
5243;2021;18/7/2021;Domingo;03:30:00;;0.0;1;Moto/Ciclomotor;Av. Francia Y Av. Uriburu;1;1;0;0;0;0;Avenida;ROSARIO;Constitución;S/D;S/D;II;S/D;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;S/D;S/D
5244;2021;18/7/2021;Domingo;04:20:00;;0.0;2;Automóvil,Moto/Ciclomotor;Av. Francia Y Bv. Seguí;2;0;0;1;0;0;Avenida;ROSARIO;Constitución;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5245;2021;18/7/2021;Domingo;21:35:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;L de la Torre Y Mitre B;3;0;0;2;0;0;Calle;VERA;Constitución;Asfalto;No existe;XIX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5246;2021;18/7/2021;Domingo;16:10:00;Autopista Nacional A008;0.0;2;Moto/Ciclomotor,Automóvil;Av. Circunvalación Y Av. Ovidio Lagos;2;0;0;0;0;1;Autopista;ROSARIO;Constitución;Asfalto;Pavimento;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5247;2021;18/7/2021;Domingo;22:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Córdoba Y Donado;3;0;0;2;0;0;Calle;ROSARIO;Constitución;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5248;2021;18/7/2021;Domingo;18:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;9 De Julio Y Alberdi;2;0;0;1;0;0;Calle;ROSARIO;Constitución;Hormigón;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Deteriorada;Buena;Atardecer,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5249;2021;18/7/2021;Domingo;21:15:00;Ruta Nacional 9;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Maíz Y Ruta Nacional 9;3;1;0;0;0;0;Ruta;ROLDÁN;San Lorenzo;Asfalto;Ripio;XVII;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;Ninguna;Horizontal
5250;2021;19/7/2021;Lunes;19:40:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Av. Irigoyen Y Darragueira;3;2;0;1;0;0;Avenida;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;S/D;Nocturna;S/D;Múltiple;S/D;Colisión;Ninguna;Faltante
5251;2021;19/7/2021;Lunes;21:30:00;;0.0;2;Taxi/Remis,Moto/Ciclomotor;Cochabamba Y Mariano Moreno;2;1;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5252;2021;19/7/2021;Lunes;16:05:00;;0.0;2;Peatón,Bicicleta;Av. Corrientes Y San Luis;2;1;0;1;0;0;Avenida;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;Peatón;Colisión;Ninguna;Horizontal,Vertical
5253;2021;19/7/2021;Lunes;22:20:00;Ruta Provincial 1;85.0;2;Pickup/Utilitario,Bicicleta; ;2;1;0;1;0;0;Ruta;HELVECIA;Garay;Asfalto;Natural;VII;Dentro;Rural;Otra Señal;No existe;Intersección;Bueno;S/D;Nocturna;Buen Tiempo;Múltiple;Ciclista;Colisión;Ninguna;Horizontal
5254;2021;19/7/2021;Lunes;16:00:00;Ruta Provincial 70;0.0;2;Automóvil,Moto/Ciclomotor;A Aufranc Y San Martin;4;2;0;2;0;0;Ruta;ESPERANZA;Las Colonias;Asfalto;No existe;XI;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal,Vertical
5255;2021;19/7/2021;Lunes;10:25:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Juan de Garay Y R S PEÑA;2;1;0;1;0;0;Calle;VERA;Vera;Asfalto;No existe;XIX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5256;2021;19/7/2021;Lunes;19:05:00;Ruta Provincial 21;0.0;2;Moto/Ciclomotor,Automóvil;Av. Gral. San Martin Y Moreno;3;2;0;1;0;0;Ruta;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Atardecer,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5257;2021;19/7/2021;Lunes;09:50:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Av. Eva Perón 7800;2;1;0;1;0;0;Avenida;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Vertical
5258;2021;19/7/2021;Lunes;15:55:00;Ruta Provincial 14;0.0;2;Automóvil,Moto/Ciclomotor;13 Antártida Argentina Y Brig López;2;1;0;1;0;0;Ruta;SOLDINI;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5259;2021;19/7/2021;Lunes;14:30:00;Ruta Provincial 21;17.0;2;Moto/Ciclomotor,Automóvil; ;2;1;0;1;0;0;Ruta;ARROYO SECO;Rosario;Asfalto;Natural;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5260;2021;19/7/2021;Lunes;;;0.0;2;Automóvil,Moto/Ciclomotor;Mendoza Y San Juan;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5261;2021;19/7/2021;Lunes;;;0.0;2;Automóvil,Moto/Ciclomotor;La Rioja Y Saavedra;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5262;2021;19/7/2021;Lunes;14:10:00;;0.0;2;Automóvil,Automóvil;Pedro Ferre Y San Lorenzo;2;2;0;0;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
5263;2021;19/7/2021;Lunes;20:20:00;Ruta Nacional 11;488.0;2;Camión,Bicicleta;Ruta Nacional 11 ;2;1;0;1;0;0;Ruta;RECREO;La Capital;Asfalto;Natural;I;Dentro;Rural;Otra Señal;No existe;Intersección;Bueno;Reducida;Nocturna;Buen Tiempo;Múltiple;Ciclista;Colisión;Agua;Horizontal
5264;2021;19/7/2021;Lunes;23:50:00;;0.0;2;Peatón,Pickup/Utilitario;La Paz Y Pje Diego de Leiva;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;Peatón;Colisión;Ninguna;Vertical
5265;2021;19/7/2021;Lunes;14:25:00;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 19-Habegger Y Calle 32 - Amenábar;2;1;0;1;0;0;Calle;RECONQUISTA;General Obligado;Asfalto;No existe;IX;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Otro;Múltiple;S/D;Colisión;Ninguna;Faltante
5266;2021;19/7/2021;Lunes;19:10:00;Ruta Provincial 2;0.0;1;Moto/Ciclomotor;Silvestre Begnis 1550;2;2;0;0;0;0;Ruta;SAN JUSTO;San Justo;Ripio;No existe;XVI;Dentro;Urbana;Otra Señal;No existe;Intersección;Resbaladiza;Reducida;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Agua;Faltante
5267;2021;19/7/2021;Lunes;14:40:00;;0.0;2;Moto/Ciclomotor,Taxi/Remis;Belgrano Y Gdor. Crespo;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
